condition,generator,dataset,seed,method,n_documents,harmonic_purity,coverage,ari,nmi
compact,Luna,bills,23,initial,376,0.4330119296284191,0.9388297872340424,0.2482008758333856,0.4910633967568309
compact,Luna,bills,23,direct_hybrid,376,0.4543335892128705,1.0,0.2710806791198641,0.5141938672020324
compact,Luna,bills,23,direct_initial,376,0.4520652367652879,1.0,0.2674537303627815,0.5079046388431859
compact,Luna,bills,23,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,Luna,bills,23,kmeans,376,0.3889100048580354,1.0,0.1738932199041737,0.4488864874531465
compact,Luna,ag_news,23,hybrid,799,0.6642168651572753,1.0,0.4209192624046928,0.4833517154120462
compact,Luna,ag_news,23,initial,799,0.6642168651572753,1.0,0.4209192624046928,0.4833517154120462
compact,Luna,ag_news,23,direct_hybrid,799,0.6293503562780355,1.0,0.3555483171670382,0.4483312035395065
compact,Luna,ag_news,23,direct_initial,799,0.6293503562780355,1.0,0.3555483171670382,0.4483312035395065
compact,Luna,ag_news,23,bertopic,799,0.5487089763944202,0.5819774718397998,0.3270373071145842,0.4446639410154409
compact,Luna,ag_news,23,kmeans,799,0.5320423360038747,1.0,0.3038841485301596,0.5060965777044019
compact,Luna,ag_news,71,hybrid,799,0.5612928487760053,1.0,0.3427624505061847,0.4510334223698853
compact,Luna,ag_news,71,initial,799,0.5612928487760053,1.0,0.3427624505061847,0.4510334223698853
compact,Luna,ag_news,71,direct_hybrid,799,0.5852449532762367,1.0,0.318055487999319,0.4151946950266886
compact,Luna,ag_news,71,direct_initial,799,0.5852449532762367,1.0,0.318055487999319,0.4151946950266886
compact,Luna,ag_news,71,bertopic,799,0.6449848135810301,0.8585732165206508,0.4621547309007234,0.5315969555352946
compact,Luna,ag_news,71,kmeans,799,0.4602897534193232,1.0,0.2339504039604726,0.479096904888115
compact,Luna,bills,71,hybrid,376,0.4279764079627531,0.9388297872340424,0.2418460691062003,0.4657887777942369
compact,Luna,bills,71,initial,376,0.4212816403512279,0.9388297872340424,0.237232105300228,0.4576349321614095
compact,Luna,bills,71,direct_hybrid,376,0.4977771144809844,1.0,0.3022563660660777,0.5249666522756739
compact,Luna,bills,71,direct_initial,376,0.46850857051125,1.0,0.2849515183258021,0.5082519900576443
compact,Luna,bills,71,bertopic,376,0.1454949663746775,1.0,0.0105860969210734,0.1098066181312095
compact,Luna,bills,71,kmeans,376,0.4520868518658783,1.0,0.2574402333282442,0.5070546293991688
compact,Luna,massive,53,hybrid,360,0.6867683167419677,0.95,0.5061559868025762,0.7144518806145933
compact,Luna,massive,53,initial,360,0.6867683167419677,0.95,0.5061559868025762,0.7144518806145933
compact,Luna,massive,53,direct_hybrid,360,0.6850019179912279,1.0,0.5297249728599169,0.7329969231750567
compact,Luna,massive,53,direct_initial,360,0.6850019179912279,1.0,0.5297249728599169,0.7329969231750567
compact,Luna,massive,53,bertopic,360,0.5403660940713135,0.6416666666666667,0.2424777235377771,0.620541131149462
compact,Luna,massive,53,kmeans,360,0.6747492108558713,1.0,0.4517528172812172,0.7113055616135789
compact,Luna,sib200,71,hybrid,140,0.4647188086704215,0.9642857142857144,0.1809316166288559,0.3941528861704191
compact,Luna,sib200,71,initial,140,0.4647188086704215,0.9642857142857144,0.1809316166288559,0.3941528861704191
compact,Luna,sib200,71,direct_hybrid,140,0.5380796840175508,1.0,0.2326180707114797,0.4475598523304574
compact,Luna,sib200,71,direct_initial,140,0.5380796840175508,1.0,0.2326180707114797,0.4475598523304574
compact,Luna,sib200,71,bertopic,140,0.2547619047619047,0.0714285714285714,0.0022831912390524,0.0900554234413218
compact,Luna,sib200,71,kmeans,140,0.479041509076749,1.0,0.1988693101848575,0.4459969087432276
compact,Luna,sib200,23,hybrid,140,0.4759815263618509,0.9642857142857144,0.200896538517155,0.4280412377328238
compact,Luna,sib200,23,initial,140,0.4759815263618509,0.9642857142857144,0.200896538517155,0.4280412377328238
compact,Luna,sib200,23,direct_hybrid,140,0.5596991653925508,1.0,0.2622418396817612,0.4401788775259485
compact,Luna,sib200,23,direct_initial,140,0.5596991653925508,1.0,0.2622418396817612,0.4401788775259485
compact,Luna,sib200,23,bertopic,140,0.2627474826963318,0.1214285714285714,0.0042513550669157,0.0904734948161464
compact,Luna,sib200,23,kmeans,140,0.5316872699512888,1.0,0.2721299285240228,0.4734404504070025
