condition,generator,dataset,method,harmonic_purity_mean,harmonic_purity_std,coverage_mean,coverage_std,ari_mean,ari_std,nmi_mean,nmi_std
compact,Luna,sib200,direct_hybrid,0.5655205588717996,0.025519677259090167,1.0,0.0,0.28270362771638374,0.034171344632950615,0.48143197405109284,0.035037904210049084
compact,Luna,sib200,direct_initial,0.5655205588717996,0.025519677259090167,1.0,0.0,0.28270362771638374,0.034171344632950615,0.48143197405109284,0.035037904210049084
compact,Luna,sib200,hybrid,0.4758949573626399,0.014527326865006199,0.9642857142857144,0.0,0.19852895386027997,0.014741884386374155,0.4061012959960301,0.015298534026808476
compact,Luna,sib200,initial,0.4758949573626399,0.014527326865006199,0.9642857142857144,0.0,0.19852895386027997,0.014741884386374155,0.4061012959960301,0.015298534026808476
compact,Luna,sib200,kmeans,0.50664788996995,0.04400137960129868,1.0,0.0,0.23157589010313756,0.049723418816076385,0.46391784477702236,0.039841619235014676
neutral,GPT-4.1 mini,ag_news,bertopic,0.5691620830365695,0.06060433143053101,0.6888610763454318,0.10365190546588213,0.3442541266463853,0.09378447180593537,0.4709183819697441,0.04583941034983451
neutral,GPT-4.1 mini,ag_news,direct_hybrid,0.6865418548823365,0.021767628342597434,1.0,0.0,0.4201985572639756,0.047891045538842596,0.4498273864313253,0.030555393857044595
neutral,GPT-4.1 mini,ag_news,direct_initial,0.6884031930577446,0.020896362890326984,1.0,0.0,0.42287451956348165,0.048036279490756034,0.45221469181199075,0.0307524617897331
neutral,GPT-4.1 mini,ag_news,hybrid,0.6824835532931341,0.029452233605267643,1.0,0.0,0.4444319633053236,0.043502678966649375,0.464858437749659,0.016530997074262973
neutral,GPT-4.1 mini,ag_news,initial,0.6834461128552345,0.029477062351462757,1.0,0.0,0.44613587230418644,0.04259891391514347,0.46768240281944734,0.017834995827652605
neutral,GPT-4.1 mini,ag_news,kmeans,0.5813400945510212,0.038087555198056865,1.0,0.0,0.3427650313780235,0.03558725967764173,0.5280188151821464,0.014074026419808552
neutral,GPT-4.1 mini,bills,bertopic,0.16027157223097782,0.03304149517140905,0.975,0.055901699437494755,0.01714818315792316,0.014673270899811849,0.1366264000618806,0.05997085553870109
neutral,GPT-4.1 mini,bills,direct_hybrid,0.4328597771667605,0.025945189588609446,1.0,0.0,0.22764821374951927,0.02902001155536934,0.46566093627446153,0.03457584675799792
neutral,GPT-4.1 mini,bills,direct_initial,0.41603956182035695,0.03806387767381036,1.0,0.0,0.21588883319596888,0.031467808693030064,0.4450510126903599,0.041209346168495385
neutral,GPT-4.1 mini,bills,hybrid,0.39381118205138443,0.034802571548824345,0.9388297872340423,0.0,0.1923523127031975,0.022641734651634052,0.42838706478991806,0.028892088546964758
neutral,GPT-4.1 mini,bills,initial,0.38368009644596357,0.022850391368730155,0.9388297872340423,0.0,0.18160726001051639,0.009639527496768384,0.4103674521065842,0.019431151156372044
neutral,GPT-4.1 mini,bills,kmeans,0.4178384148697777,0.02948123323380233,1.0,0.0,0.21136604918612117,0.02865321703667805,0.4563058641279921,0.025930528926901543
neutral,GPT-4.1 mini,massive,bertopic,0.5866797321280932,0.031950461932791406,0.6922222222222223,0.0297494683010895,0.2662703494487217,0.02270056870423525,0.629688391330083,0.016948660542365736
neutral,GPT-4.1 mini,massive,direct_hybrid,0.5049565510752669,0.09290737159536151,1.0,0.0,0.24332766402661812,0.11712621254081808,0.5553263349388562,0.07460837173692315
neutral,GPT-4.1 mini,massive,direct_initial,0.49489416134595493,0.07619056153300145,1.0,0.0,0.2316878470255832,0.10284078220467485,0.5460015514295365,0.06897225542076299
neutral,GPT-4.1 mini,massive,hybrid,0.5981230898312798,0.02458578832401526,0.95,0.0,0.4038783259684431,0.030612366075838185,0.6308302594999823,0.015882402526754037
neutral,GPT-4.1 mini,massive,initial,0.5949813253344728,0.025129097965508277,0.95,0.0,0.397375166464894,0.0324986591593952,0.6247762939052027,0.017418326631491548
neutral,GPT-4.1 mini,massive,kmeans,0.689893358597309,0.03639531074039677,1.0,0.0,0.4422955403815103,0.041643193967151514,0.6985710086766275,0.032084549728584294
neutral,GPT-4.1 mini,sib200,bertopic,0.25426953021665477,0.005454455423564101,0.06571428571428568,0.03403179785591884,0.0021417956152383,0.001416642323963762,0.07890130766767116,0.012154049443364937
neutral,GPT-4.1 mini,sib200,direct_hybrid,0.5389604934967418,0.037521368353990024,1.0,0.0,0.2573449138699965,0.033961664505106945,0.4200444634302749,0.04623357805012391
neutral,GPT-4.1 mini,sib200,direct_initial,0.5389604934967418,0.037521368353990024,1.0,0.0,0.2573449138699965,0.033961664505106945,0.4200444634302749,0.04623357805012391
neutral,GPT-4.1 mini,sib200,hybrid,0.4888865528559971,0.04030620468547986,0.9642857142857144,0.0,0.21493950800810188,0.03508768550231412,0.3721875235756643,0.024722935984135205
neutral,GPT-4.1 mini,sib200,initial,0.4888865528559971,0.04030620468547986,0.9642857142857144,0.0,0.21493950800810188,0.03508768550231412,0.3721875235756643,0.024722935984135205
