generator,dataset,seed,method,n_documents,coverage,harmonic_purity,ari,nmi,topicgpt_weighted_best_f1,legacy_global_hmp
Luna,sib200,71,direct_hybrid,140,1.0,0.5380796840175508,0.2326180707114797,0.4475598523304574,0.5380796840175508,0.531484962406015
Luna,sib200,71,direct_initial,140,1.0,0.5380796840175508,0.2326180707114797,0.4475598523304574,0.5380796840175508,0.531484962406015
Luna,sib200,71,bertopic,140,0.0714285714285714,0.2547619047619047,0.0022831912390524,0.0900554234413218,0.2547619047619047,0.3193812556869881
Luna,sib200,71,kmeans,140,1.0,0.479041509076749,0.1988693101848575,0.4459969087432276,0.479041509076749,0.4608967674661105
Luna,sib200,23,hybrid,140,0.9642857142857144,0.4759815263618509,0.200896538517155,0.4280412377328238,0.4759815263618509,0.4553571428571428
Luna,sib200,23,initial,140,0.9642857142857144,0.4759815263618509,0.200896538517155,0.4280412377328238,0.4759815263618509,0.4553571428571428
Luna,sib200,23,direct_hybrid,140,1.0,0.5596991653925508,0.2622418396817612,0.4401788775259485,0.5596991653925508,0.5579514824797844
Luna,sib200,23,direct_initial,140,1.0,0.5596991653925508,0.2622418396817612,0.4401788775259485,0.5596991653925508,0.5579514824797844
Luna,sib200,23,bertopic,140,0.1214285714285714,0.2627474826963318,0.0042513550669157,0.0904734948161464,0.2627474826963318,0.3258278145695364
Luna,sib200,23,kmeans,140,1.0,0.5316872699512888,0.2721299285240228,0.4734404504070025,0.5316872699512888,0.554140127388535
Luna,sib200,37,hybrid,140,0.9642857142857144,0.4685447972292366,0.2071556808443811,0.3971018380662208,0.4685447972292366,0.4753623188405798
Luna,sib200,37,initial,140,0.9642857142857144,0.4685447972292366,0.2071556808443811,0.3971018380662208,0.4685447972292366,0.4753623188405798
Luna,sib200,37,direct_hybrid,140,1.0,0.6074304827312046,0.3082562053814479,0.5095705339606341,0.6074304827312046,0.5783132530120482
Luna,sib200,37,direct_initial,140,1.0,0.6074304827312046,0.3082562053814479,0.5095705339606341,0.6074304827312046,0.5783132530120482
Luna,sib200,37,bertopic,140,0.0357142857142857,0.2547786014826688,0.0015398350410759,0.0671224539525357,0.2547786014826688,0.3013392857142857
Luna,sib200,37,kmeans,140,1.0,0.5606682480987263,0.2933855910448408,0.5149689531606728,0.5606682480987263,0.5637160385626643
Luna,sib200,53,hybrid,140,0.9642857142857144,0.4693791631149464,0.1867010169898902,0.4163424067709359,0.4693791631149464,0.4663561076604555
Luna,sib200,53,initial,140,0.9642857142857144,0.4693791631149464,0.1867010169898902,0.4163424067709359,0.4693791631149464,0.4663561076604555
Luna,sib200,53,direct_hybrid,140,1.0,0.5577115636898246,0.2989449497367161,0.495819570454249,0.5577115636898246,0.5563442768411713
Luna,sib200,53,direct_initial,140,1.0,0.5577115636898246,0.2989449497367161,0.495819570454249,0.5577115636898246,0.5563442768411713
Luna,sib200,53,bertopic,140,0.0428571428571428,0.24860853432282,0.0003593526124474,0.0652456169042813,0.24860853432282,0.3009883198562444
Luna,sib200,53,kmeans,140,1.0,0.5134287469078327,0.2182975313939403,0.4773889637787858,0.5134287469078327,0.517047619047619
Luna,massive,71,hybrid,360,0.95,0.6419682682840578,0.4595812805459677,0.6820307452707648,0.6419682682840578,0.6860998650472334
Luna,massive,71,initial,360,0.95,0.6419682682840578,0.4595812805459677,0.6820307452707648,0.6419682682840578,0.6860998650472334
Luna,massive,71,direct_hybrid,360,1.0,0.6388648914805808,0.3922086159670166,0.6748573352328973,0.6388648914805808,0.675
Luna,massive,71,direct_initial,360,1.0,0.6388648914805808,0.3922086159670166,0.6748573352328973,0.6388648914805808,0.675
Luna,massive,71,bertopic,360,0.7166666666666667,0.6167983790610155,0.3003361515842616,0.6533559040960516,0.6167983790610155,0.6297903109182936
Luna,massive,71,kmeans,360,1.0,0.6608325367847911,0.4325979094105601,0.6892173271579363,0.6608325367847911,0.6662508662508662
Luna,bills,53,hybrid,376,0.9388297872340424,0.4224751712048866,0.2269640884320808,0.4683628612241282,0.4224751712048866,0.4640919344022435
Luna,bills,53,initial,376,0.9388297872340424,0.4207307293427377,0.2239017942372653,0.4619423907861177,0.4207307293427377,0.460091009715902
Luna,bills,53,direct_hybrid,376,1.0,0.4684364535322238,0.249601247576961,0.4888875088036303,0.4684364535322238,0.4880282914951591
Luna,bills,53,direct_initial,376,1.0,0.4687498532931404,0.2496966715195391,0.484846724171201,0.4687498532931404,0.4906590555267255
Luna,bills,53,bertopic,376,0.875,0.2193779956561791,0.0433965281053222,0.2439055277845649,0.2193779956561791,0.2702419119790148
Luna,bills,53,kmeans,376,1.0,0.4221518761412378,0.2024908634903341,0.4830349770977594,0.4221518761412378,0.4807546177227028
