generator,backend,dataset,seed,method,split,sample_scope,evidence_role,n_documents,coverage,n_rejected,n_assigned_topics,mapped_accuracy,purity,inverse_purity,harmonic_purity,ari,nmi,assigned_mapped_accuracy,assigned_purity,assigned_inverse_purity,assigned_harmonic_purity,assigned_ari,assigned_nmi
GPT-4.1 mini,cloud,sib200,37,bertopic,test,eligible,release_revalidation_previously_seen,140,0.0357142857142857,135,2,0.1785714285714285,0.1785714285714285,0.9642857142857144,0.3013392857142857,0.0015398350410759,0.0671224539525357,1.0,1.0,1.0,1.0,1.0,1.0
GPT-4.1 mini,cloud,sib200,37,kmeans,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.5214285714285715,0.6142857142857143,0.5785714285714286,0.5958939264328486,0.3030408648701533,0.4702349613877361,0.5214285714285715,0.6142857142857143,0.5785714285714286,0.5958939264328486,0.3030408648701533,0.4702349613877361
GPT-4.1 mini,cloud,sib200,53,hybrid,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,9,0.4714285714285714,0.5,0.5357142857142857,0.5172413793103449,0.2210955052108246,0.369934167738137,0.4888888888888889,0.5037037037037037,0.5555555555555556,0.5283605283605283,0.2308507370044577,0.3802495920904444
GPT-4.1 mini,cloud,sib200,53,initial,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,9,0.4714285714285714,0.5,0.5357142857142857,0.5172413793103449,0.2210955052108246,0.369934167738137,0.4888888888888889,0.5037037037037037,0.5555555555555556,0.5283605283605283,0.2308507370044577,0.3802495920904444
GPT-4.1 mini,cloud,sib200,53,direct_hybrid,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.5691964285714286,0.2768638781019056,0.457094885262337,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.5691964285714286,0.2768638781019056,0.457094885262337
GPT-4.1 mini,cloud,sib200,53,direct_initial,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.5691964285714286,0.2768638781019056,0.457094885262337,0.5357142857142857,0.6071428571428571,0.5357142857142857,0.5691964285714286,0.2768638781019056,0.457094885262337
GPT-4.1 mini,cloud,sib200,53,bertopic,test,eligible,release_revalidation_previously_seen,140,0.0428571428571428,134,3,0.1785714285714285,0.1785714285714285,0.9571428571428572,0.3009883198562444,0.0003593526124474,0.0652456169042813,0.8333333333333334,0.8333333333333334,1.0,0.9090909090909092,0.5945945945945946,0.8640546073105768
GPT-4.1 mini,cloud,sib200,53,kmeans,test,eligible,release_revalidation_previously_seen,140,1.0,0,9,0.4571428571428571,0.5071428571428571,0.4642857142857143,0.4847689075630252,0.1708803867057976,0.3615468228066177,0.4571428571428571,0.5071428571428571,0.4642857142857143,0.4847689075630252,0.1708803867057976,0.3615468228066177
GPT-4.1 mini,cloud,sib200,71,hybrid,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.4928571428571429,0.5857142857142857,0.5142857142857142,0.5476808905380334,0.2808228206852006,0.4096720987665395,0.5111111111111111,0.5925925925925926,0.5333333333333333,0.5614035087719299,0.2948676281659121,0.421632925884418
GPT-4.1 mini,cloud,sib200,71,initial,test,eligible,release_revalidation_previously_seen,140,0.9642857142857144,5,10,0.4928571428571429,0.5857142857142857,0.5142857142857142,0.5476808905380334,0.2808228206852006,0.4096720987665395,0.5111111111111111,0.5925925925925926,0.5333333333333333,0.5614035087719299,0.2948676281659121,0.421632925884418
